"archivo","year","n_cols","preview"
"2012.sav",2012,18,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, GETHOM, GETMUJ, NACHOM, NACMUJ, ESCHOM"
"2013.sav",2013,18,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PUEHOM, PUEMUJ, NACHOM, NACMUJ, ESCHOM"
"2014.sav",2014,18,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PUEHOM, PUEMUJ, NACHOM, NACMUJ, ESCHOM"
"2015.sav",2015,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PUEHOM, PUEMUJ, NACHOM, NACMUJ"
"2016.sav",2016,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PPERHOM, PPERMUJ, NACHOM, NACMUJ"
"2017.sav",2017,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PPERHOM, PPERMUJ, NACHOM, NACMUJ"
"2018.sav",2018,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PPERHOM, PPERMUJ, NACHOM, NACMUJ"
"2019.sav",2019,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PPERHOM, PPERMUJ, NACHOM, NACMUJ"
"2020.sav",2020,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PPERHOM, PPERMUJ, NACHOM, NACMUJ"
"2021.sav",2021,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PPERHOM, PPERMUJ, NACHOM, NACMUJ"
"2022.sav",2022,19,"DEPREG, MUPREG, MESREG, AÑOREG, DIAOCU, MESOCU, AÑOOCU, DEPOCU, MUPOCU, EDADHOM, EDADMUJ, PUEHOM, PUEMUJ, NACHOM, NACMUJ"
